program_code_3digit,formula,bac_type
158,FG+(M+Info)/2,Sciences Techniques
159,FG+F,Informatique
159,FG+(F+HG)/2,Lettres
159,FG+F,Mathematiques
159,FG+F,Sciences Experimentales
159,FG+F,Sciences Techniques
159,FG+(F+HG)/2,Economie et Gestion
160,FG+(F+Ang)/2,Informatique
160,FG+(F+Ang+HG)/3,Lettres
160,FG+(F+Ang)/2,Mathematiques
160,FG+(F+Ang)/2,Sciences Experimentales
160,FG+(F+Ang)/2,Sciences Techniques
160,FG+(F+Ang+HG)/3,Economie et Gestion
161,FG+F,Informatique
161,FG+(F+HG)/2,Lettres
161,FG+F,Mathematiques
161,FG+F,Sciences Experimentales
161,FG+F,Sciences Techniques
161,FG+F,Sport
161,FG+(F+HG)/2,Economie et Gestion
162,FG+F,Informatique
162,FG+(F+HG)/2,Lettres
162,FG+F,Mathematiques
162,FG+F,Sciences Experimentales
162,FG+F,Sciences Techniques
162,FG+F,Sport
162,FG+(F+HG)/2,Economie et Gestion
164,FG+(M+Algo)/2,Informatique
164,FG+(M+Info)/2,Mathematiques
164,FG+(M+Info)/2,Sciences Experimentales
164,FG+(M+Info)/2,Sciences Techniques
167,FG+F,Informatique
167,FG+(F+HG)/2,Lettres
167,FG+F,Mathematiques
167,FG+F,Sciences Experimentales
167,FG+F,Sciences Techniques
167,FG+F,Sport
167,FG+(F+HG)/2,Economie et Gestion
168,FG+(M+Algo)/2,Informatique
168,FG+(M+Info)/2,Mathematiques
168,FG+(M+Info)/2,Sciences Experimentales
168,FG+(M+Info)/2,Sciences Techniques
190,FG+(2A+Ang+F)/4,Informatique
190,FG+(2A+Ang+F)/4,Lettres
190,FG+(2A+Ang+F)/4,Mathematiques
190,FG+(2A+Ang+F)/4,Sciences Experimentales
190,FG+(2A+Ang+F)/4,Sciences Techniques
190,FG+(2A+Ang+F)/4,Sport
190,FG+(2A+Ang+F)/4,Economie et Gestion
191,FG+(A+Ang+2F)/4,Informatique
191,FG+(A+Ang+2F)/4,Lettres
191,FG+(A+Ang+2F)/4,Mathematiques
191,FG+(A+Ang+2F)/4,Sciences Experimentales
191,FG+(A+Ang+2F)/4,Sciences Techniques
191,FG+(A+Ang+2F)/4,Sport
191,FG+(A+Ang+2F)/4,Economie et Gestion
192,FG+(A+2Ang+F)/4,Informatique
192,FG+(A+2Ang+F)/4,Lettres
192,FG+(A+2Ang+F)/4,Mathematiques
192,FG+(A+2Ang+F)/4,Sciences Experimentales
192,FG+(A+2Ang+F)/4,Sciences Techniques
192,FG+(A+2Ang+F)/4,Sport
192,FG+(A+2Ang+F)/4,Economie et Gestion
193,FG+(A+Ang+F+PH)/4,Informatique
193,FG+(A+F+HG+PH)/4,Lettres
193,FG+(A+Ang+F+PH)/4,Mathematiques
193,FG+(A+Ang+F+PH)/4,Sciences Experimentales
193,FG+(A+Ang+F+PH)/4,Sciences Techniques
193,FG+(A+Ang+F+PH)/4,Sport
193,FG+(A+F+HG+PH)/4,Economie et Gestion
194,FG+(A+Ang+F+PH)/4,Informatique
194,FG+(A+F+HG+PH)/4,Lettres
194,FG+(A+Ang+F+PH)/4,Mathematiques
194,FG+(A+Ang+F+PH)/4,Sciences Experimentales
194,FG+(A+Ang+F+PH)/4,Sciences Techniques
194,FG+(A+Ang+F+PH)/4,Sport
194,FG+(A+F+HG+PH)/4,Economie et Gestion
195,FG+(A+Ang+F+PH)/4,Informatique
195,FG+(A+F+HG+PH)/4,Lettres
195,FG+(A+Ang+F+PH)/4,Mathematiques
195,FG+(A+Ang+F+PH)/4,Sciences Experimentales
195,FG+(A+Ang+F+PH)/4,Sciences Techniques
195,FG+(A+Ang+F+PH)/4,Sport
195,FG+(A+F+HG+PH)/4,Economie et Gestion
200,FG+PH,Informatique
200,FG+PH,Lettres
200,FG+PH,Mathematiques
200,FG+PH,Sciences Experimentales
200,FG+PH,Sciences Techniques
200,FG+PH,Sport
200,FG+PH,Economie et Gestion
201,FG+PH,Informatique
201,FG+PH,Lettres
201,FG+PH,Mathematiques
201,FG+PH,Sciences Experimentales
201,FG+PH,Sciences Techniques
201,FG+PH,Sport
201,FG+PH,Economie et Gestion
202,FG+PH,Informatique
202,FG+PH,Lettres
202,FG+PH,Mathematiques
202,FG+PH,Sciences Experimentales
202,FG+PH,Sciences Techniques
202,FG+PH,Sport
202,FG+PH,Economie et Gestion
203,FG+PH,Informatique
203,FG+PH,Mathematiques
203,FG+PH,Lettres
203,FG+PH,Sciences Experimentales
203,FG+PH,Sciences Techniques
203,FG+PH,Sport
203,FG+PH,Economie et Gestion
207,FG+PH,Informatique
207,FG+PH,Lettres
207,FG+PH,Mathematiques
207,FG+PH,Sciences Experimentales
207,FG+PH,Sciences Techniques
207,FG+PH,Sport
207,FG+PH,Economie et Gestion
208,FG+PH,Informatique
208,FG+PH,Lettres
208,FG+PH,Mathematiques
208,FG+PH,Sciences Experimentales
208,FG+PH,Sciences Techniques
208,FG+PH,Sport
208,FG+PH,Economie et Gestion
209,FG+PH,Informatique
209,FG+PH,Lettres
209,FG+PH,Mathematiques
209,FG+PH,Sciences Experimentales
209,FG+PH,Sciences Techniques
209,FG+PH,Sport
209,FG+PH,Economie et Gestion
244,FG+PH,Lettres
244,FG+PH,Mathematiques
244,FG+PH,Sciences Experimentales
244,FG+PH,Sciences Techniques
244,FG+PH,Economie et Gestion
246,FG+STI,Informatique
246,FG+Info,Mathematiques
246,FG+Info,Sciences Experimentales
246,FG+Info,Sciences Techniques
247,FG+STI,Informatique
247,FG+Info,Mathematiques
247,FG+Info,Sciences Experimentales
247,FG+Info,Sciences Techniques
260,FG+STI,Informatique
260,FG+Info,Lettres
260,FG+Info,Mathematiques
260,FG+Info,Sciences Experimentales
260,FG+Info,Sciences Techniques
260,FG+Info,Economie et Gestion
265,FG+PH,Informatique
265,FG+PH,Lettres
265,FG+PH,Mathematiques
265,FG+PH,Sciences Experimentales
265,FG+PH,Sciences Techniques
265,FG+PH,Economie et Gestion
301,FG+(A+F)/2,Informatique
301,FG+(A+F)/2,Lettres
301,FG+(A+F)/2,Mathematiques
301,FG+(A+F)/2,Sciences Experimentales
301,FG+(A+F)/2,Sciences Techniques
301,FG+(A+F)/2,Sport
301,FG+(A+F)/2,Economie et Gestion
311,FG+(M+Algo)/2,Informatique
